Rank,Track Name,Artist Name(s),Total Minutes Played,Tempo,Danceability,First Played
1,Disco! in the Panic Room,Bug Hunter,1812.93,79.99,0.758,2022-05-03 10:30:38
2,It's a Monday,Lolnein,1441.54,128.01,0.782,2022-05-17 17:51:07
3,PSYCHO,Pertinence,1310.0,75.12,0.737,2023-11-20 10:36:55
4,Eismann,GReeeN,1251.56,178.05,0.763,2022-08-30 13:24:18
5,鬼ノ宴,友成空,1182.92,,,2024-03-28 21:22:34
6,Guava Jelly,Royce Fisherman,1147.01,122.97,0.82,2024-05-12 08:41:21
7,Have You Seen The Moon Tonight?,Aim Vision,1084.23,132.96,0.756,2022-11-05 18:03:46
8,Boof Pack,Lord Aethelstan,1077.2,140.04,0.912,2022-04-26 17:58:36
9,Nightmares,Hairu Tokyo,1042.54,,,2022-12-31 13:56:44
10,1975,Silent Child,1034.09,74.95,0.625,2022-05-26 16:17:18
11,The Phoenix,Fall Out Boy,1020.14,138.06,0.561,2021-12-21 17:13:09
12,AND IT SHOWS,Aim Vision,977.8,148.04,0.73,2023-11-10 14:00:54
13,SUPERHERO,Aim Vision,970.54,129.0,0.643,2022-11-04 21:19:01
14,Troublemaker (feat. Flo Rida),Olly Murs,956.54,,,2023-10-28 16:03:20
15,i know,Hairu Tokyo,938.77,88.49,0.787,2022-12-31 13:58:56
16,Bad Ones,Call Me Karizma,922.86,144.92,0.639,2022-10-06 20:46:15
17,Play,austenyo,869.07,137.95,0.827,2024-02-13 09:45:00
18,White Wine Red Lies,Hairu Tokyo,856.77,,,2022-12-31 13:55:15
19,Sunsets,Biting Elbows,854.62,171.12,0.478,2023-01-30 17:11:19
20,ERROR143,kroh,845.2,150.17,0.671,2022-08-13 16:34:13
